Q1,Q2,Q3,Q4,Q5,Q5D,Q6,Q7,Q7D,Q8,Q8D,Q9,Q9D,Q10,Q10D,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
5,4,5,5,3,3,5,1,5,1,5,2,4,2,4,4,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4
4,2,5,5,3,3,4,5,1,3,3,4,2,2,4,5,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4
4,4,4,4,3,3,3,2,4,3,3,3,3,2,4,4,2,1,1,3,2,2,3,2,2,4,2,3,4,3,3
5,5,5,5,3,3,4,3,3,3,3,2,4,3,3,5,3,1,3,4,3,3,4,2,2,4,4,4,4,4,3
4,4,4,5,4,2,3,2,4,4,2,2,4,1,5,4,4,2,4,4,4,3,4,4,2,4,4,4,4,4,4
4,3,3,4,3,3,2,3,3,2,4,2,4,2,4,5,3,1,3,4,4,3,3,4,4,4,4,4,4,4,3
4,3,3,4,4,2,3,2,4,4,2,3,3,3,3,4,3,2,4,3,4,3,4,4,2,4,3,3,4,3,3
4,3,4,4,3,3,4,2,4,4,2,3,3,1,5,4,4,2,2,3,3,3,4,2,2,3,3,3,2,3,3
4,4,4,5,3,3,3,2,4,3,3,3,3,2,4,4,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3
5,4,5,5,2,4,3,4,2,3,3,2,4,2,4,4,2,2,4,4,2,3,4,2,2,4,3,3,4,3,4
5,3,5,4,3,3,2,4,2,4,2,3,3,2,4,5,3,2,1,3,4,2,3,2,1,3,2,4,4,4,3
4,5,4,4,3,3,3,2,4,4,2,2,4,2,4,5,4,3,3,3,3,3,4,3,3,3,2,4,3,4,3
5,5,5,5,3,3,2,2,4,2,4,2,4,4,2,4,4,3,4,4,4,3,4,2,2,4,4,4,4,4,3
5,4,4,5,2,4,4,3,3,4,2,4,2,4,2,4,3,1,4,3,3,3,4,3,4,4,2,3,4,3,1
4,3,5,5,4,2,4,3,3,5,1,2,4,1,5,5,4,2,3,4,2,4,4,3,3,4,3,3,4,3,3
4,2,5,3,3,3,4,5,1,1,5,1,5,1,5,4,3,4,4,4,4,4,3,4,4,4,3,3,4,4,3
4,2,4,4,2,4,4,2,4,3,3,2,4,2,4,4,3,2,2,4,3,3,3,3,3,3,3,3,4,3,3
5,2,2,4,2,4,3,2,4,2,4,2,4,2,4,5,4,4,2,4,4,4,4,3,2,4,3,3,4,4,4
4,4,5,5,3,3,3,2,4,3,3,1,5,1,5,5,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4
5,4,4,5,3,3,4,4,2,3,3,1,5,2,4,5,3,1,4,1,1,3,4,4,4,4,4,3,4,3,1
4,4,4,2,4,2,4,4,2,4,2,2,4,2,4,2,3,2,4,4,3,4,4,4,3,4,2,3,4,4,4
4,4,3,4,5,1,3,3,3,3,3,2,4,2,4,4,2,1,3,4,2,1,2,2,2,4,2,2,3,2,1
5,3,4,4,3,3,5,1,5,4,2,2,4,3,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4
5,4,3,4,3,3,4,2,4,2,4,2,4,1,5,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4
5,5,5,5,3,3,5,1,5,3,3,1,5,1,5,5,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4
5,2,3,4,4,2,4,4,2,5,1,2,4,2,4,4,1,1,4,4,4,4,4,4,4,4,3,3,4,3,3
4,4,4,5,4,2,3,2,4,1,5,2,4,2,4,4,3,1,4,3,1,3,4,1,3,3,3,4,4,4,2
4,3,4,4,4,2,3,3,3,3,3,2,4,3,3,4,3,2,1,4,4,1,3,3,3,4,1,4,1,4,3
4,5,2,5,5,1,3,2,4,4,2,2,4,2,4,4,1,1,1,4,2,1,4,2,2,3,1,4,3,4,2
5,4,4,4,2,4,4,3,3,2,4,1,5,2,4,4,3,1,2,2,3,3,3,3,3,4,4,2,2,2,3
4,5,4,3,4,2,3,4,2,3,3,3,3,3,3,4,4,3,2,4,3,2,4,3,3,3,4,4,4,4,2
5,3,5,4,3,3,3,2,4,3,3,2,4,3,3,5,4,4,4,4,4,3,4,4,4,4,1,2,3,4,3
4,4,5,5,3,3,3,1,5,3,3,2,4,3,3,5,4,2,2,4,3,3,4,4,3,4,1,3,3,3,2
5,3,4,5,3,3,4,2,4,2,4,3,3,2,4,4,4,1,3,4,3,4,4,3,4,4,4,4,4,4,4
5,4,4,4,4,2,3,4,2,4,2,3,3,4,2,4,3,1,3,3,3,1,3,1,1,3,1,3,3,1,1
3,4,4,5,4,2,2,3,3,4,2,4,2,4,2,5,4,2,2,4,3,2,4,1,2,4,2,3,4,4,4
4,3,4,5,4,2,2,2,4,2,4,1,5,2,4,5,3,3,3,4,4,4,3,3,3,4,2,1,1,3,2
4,4,3,4,3,3,2,2,4,3,3,2,4,3,3,4,3,3,2,3,3,2,3,3,2,3,1,2,3,3,2
5,3,5,5,2,4,5,2,4,2,4,1,5,3,3,5,1,2,4,4,4,3,4,4,4,4,4,4,4,4,4
5,3,5,5,2,4,5,2,4,2,4,1,5,3,3,5,1,2,4,4,4,3,4,4,4,4,4,4,4,4,4
5,5,5,5,3,3,2,3,3,4,2,1,5,1,5,5,4,1,3,4,4,2,4,3,1,4,4,4,4,4,3
5,2,5,5,4,2,2,4,2,4,2,4,2,4,2,4,3,1,3,2,2,3,4,2,3,4,4,2,2,1,2
5,4,5,5,3,3,4,5,1,2,4,4,2,3,3,4,4,1,1,4,4,3,4,1,3,4,2,3,4,3,4
5,4,3,5,2,4,2,3,3,3,3,2,4,2,4,4,3,3,4,4,4,4,4,1,4,4,3,4,4,4,4
5,5,4,4,4,2,4,4,2,2,4,1,5,2,4,5,4,3,4,4,3,4,4,4,1,4,1,4,4,4,4
5,3,5,5,3,3,3,4,2,2,4,4,2,2,4,5,2,4,4,4,4,4,4,4,4,4,4,4,4,1,4
5,3,4,3,4,2,3,3,3,4,2,2,4,3,3,4,2,1,2,3,3,3,2,1,3,2,2,2,3,2,2
4,5,5,4,3,3,3,2,4,3,3,2,4,2,4,5,4,2,3,4,4,4,4,4,4,4,3,4,4,4,4
5,2,4,4,5,1,2,3,3,4,2,3,3,2,4,4,3,2,4,4,4,3,1,3,4,2,4,4,4,4,3
4,4,4,3,2,4,4,3,3,2,4,2,4,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,4,4,4
5,4,4,4,4,2,3,2,4,3,3,3,3,2,4,4,3,2,2,4,4,2,3,3,3,3,2,3,3,3,3
5,3,5,5,3,3,2,2,4,1,5,1,5,1,5,5,4,3,4,4,4,4,4,4,4,2,3,2,3,4,4
5,4,4,4,2,4,4,2,4,2,4,2,4,2,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,3,3,3,2,4,3,3,3,3,3,3,4,3,1,2,3,3,3,3,3,3,3,2,3,3,3,1
4,3,4,4,2,4,4,3,3,3,3,3,3,2,4,4,3,3,3,3,4,2,3,3,3,3,3,3,4,4,3
5,3,5,4,4,2,3,4,2,3,3,2,4,2,4,4,3,3,3,3,3,3,4,3,4,4,2,3,4,4,3
5,4,5,2,3,3,4,4,2,3,3,2,4,2,4,4,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3
5,5,5,5,2,4,5,3,3,3,3,2,4,1,5,5,4,2,1,1,3,4,4,4,4,4,3,4,4,4,4
4,4,4,5,4,2,2,4,2,4,2,4,2,4,2,4,2,2,3,4,3,4,3,3,2,4,3,4,3,3,4
5,3,5,5,3,3,4,4,2,4,2,2,4,3,3,4,3,1,3,4,4,3,3,1,3,4,2,4,3,3,2
4,4,3,5,2,4,5,1,5,3,3,4,2,2,4,4,3,1,3,4,4,4,4,3,3,4,1,1,3,4,1
4,5,5,5,4,2,3,3,3,3,3,3,3,2,4,5,3,3,3,4,3,3,4,2,2,3,2,3,3,3,3
5,3,4,4,3,3,5,3,3,3,3,2,4,2,4,5,3,3,3,4,3,3,4,3,3,4,3,3,4,3,4
5,3,4,4,3,3,3,3,3,3,3,2,4,2,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
4,5,5,4,2,4,4,2,4,2,4,2,4,2,4,4,3,3,3,3,2,4,3,3,3,3,3,4,4,4,3
5,4,5,4,4,2,3,3,3,3,3,3,3,2,4,5,4,1,4,4,2,2,4,1,3,4,2,1,3,3,4
5,5,5,5,4,2,4,2,4,3,3,1,5,2,4,4,3,3,4,4,3,3,4,3,3,4,3,3,3,4,3
5,3,4,4,3,3,3,2,4,3,3,3,3,3,3,3,2,2,3,4,4,4,3,3,3,3,2,2,3,3,3
5,5,4,4,4,2,2,3,3,3,3,3,3,4,2,3,1,1,2,3,2,1,4,1,4,3,2,2,2,1,1
5,5,5,4,2,4,5,2,4,2,4,2,4,2,4,4,3,3,4,4,3,4,3,3,3,4,3,4,4,4,4
4,4,4,4,3,3,3,2,4,2,4,2,4,1,5,5,3,4,3,3,4,4,4,3,3,4,3,3,4,4,3
5,4,5,5,2,4,5,2,4,2,4,1,5,2,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4
5,4,4,4,3,3,3,4,2,2,4,4,2,2,4,4,4,3,3,4,4,3,4,2,2,3,2,4,3,4,3
3,4,4,4,2,4,3,1,5,3,3,2,4,2,4,4,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3
5,3,4,4,3,3,2,3,3,4,2,2,4,3,3,4,3,2,3,4,3,3,2,2,3,3,4,3,3,3,4
4,4,4,4,3,3,4,2,4,4,2,3,3,2,4,4,3,3,3,4,4,3,3,4,3,4,3,3,3,4,3
4,4,4,4,3,3,3,2,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,4,3,3,3,3,2,4,3,3,2,4,1,5,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4
5,3,4,4,3,3,4,2,4,2,4,3,3,2,4,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3
4,4,3,5,3,3,3,2,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,3,3,3
5,4,3,3,3,3,3,2,4,3,3,3,3,2,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,4,4,2,3,4,2,4,2,2,4,3,3,4,4,2,3,4,3,3,4,3,1,4,1,3,4,3,3
4,3,2,4,3,3,4,3,3,3,3,2,4,3,3,4,3,1,3,4,3,4,4,3,3,4,3,3,3,3,3
5,3,4,3,3,3,3,4,2,3,3,3,3,2,4,5,3,3,4,4,3,4,3,4,4,4,3,4,4,4,4
3,4,4,5,3,3,4,3,3,2,4,2,4,2,4,3,3,1,2,4,4,4,3,1,3,4,3,3,3,2,3
5,3,4,3,2,4,3,3,3,2,4,2,4,2,4,4,3,3,4,4,4,4,3,4,3,3,4,3,4,3,3
5,3,5,5,3,3,4,2,4,2,4,2,4,1,5,5,3,1,3,4,4,3,3,3,3,4,1,4,3,4,4
3,2,5,5,3,3,3,2,4,3,3,1,5,1,5,5,3,4,4,4,4,4,4,3,3,4,3,4,4,4,4
5,5,5,5,3,3,3,2,4,1,5,2,4,1,5,5,4,2,3,4,4,3,4,3,2,3,3,3,4,4,4
4,2,5,4,4,2,4,3,3,3,3,2,4,2,4,4,1,2,4,3,3,3,1,3,3,2,1,3,4,3,2
5,3,5,5,3,3,3,4,2,4,2,5,1,3,3,5,4,3,4,4,3,3,4,3,4,4,4,3,4,4,3
5,5,5,5,4,2,2,4,2,4,2,3,3,2,4,5,2,1,3,4,3,3,3,3,3,3,2,3,3,3,3
3,4,4,5,4,2,4,2,4,3,3,2,4,2,4,4,2,1,3,2,2,1,3,3,3,3,2,2,2,2,2
4,4,5,4,4,2,3,3,3,4,2,2,4,2,4,4,3,4,3,4,4,2,3,3,4,4,4,4,3,3,4
4,4,3,5,4,2,2,3,3,4,2,3,3,1,5,5,3,1,3,4,2,1,3,3,2,4,1,3,4,3,2
4,4,5,5,3,3,4,3,3,4,2,2,4,4,2,3,3,2,4,4,2,3,4,3,1,4,3,4,3,2,2
4,3,4,4,3,3,2,3,3,2,4,3,3,4,2,4,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3
5,5,4,5,3,3,4,2,4,3,3,2,4,2,4,4,3,1,1,4,3,3,1,2,1,3,4,3,4,4,3
5,5,4,4,4,2,3,3,3,4,2,2,4,2,4,4,3,3,1,4,4,3,4,3,1,4,3,4,3,3,2
4,4,4,5,4,2,4,4,2,5,1,2,4,4,2,5,3,3,3,4,3,2,4,2,1,4,4,4,3,4,4
4,2,4,5,3,3,3,2,4,4,2,2,4,1,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
5,3,4,5,3,3,2,2,4,1,5,3,3,2,4,4,2,1,2,4,3,3,3,2,2,4,3,3,3,3,4
5,4,4,5,3,3,4,2,4,3,3,2,4,2,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4
4,5,5,5,3,3,3,3,3,3,3,2,4,2,4,4,1,1,2,4,3,2,1,2,2,4,3,3,4,1,2
5,4,4,4,3,3,3,2,4,4,2,3,3,2,4,4,3,3,3,4,3,3,4,3,3,4,3,4,3,3,3
4,4,3,5,3,3,3,2,4,4,2,2,4,3,3,3,2,1,3,3,2,3,4,2,3,4,3,3,3,3,3
4,3,4,5,3,3,3,3,3,4,2,3,3,2,4,5,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
5,5,5,5,4,2,4,2,4,4,2,2,4,2,4,5,4,2,3,4,4,1,4,3,4,4,2,4,4,4,4
5,3,5,5,3,3,3,3,3,4,2,2,4,4,2,4,3,1,2,3,2,2,3,1,2,3,3,3,3,3,2
5,4,5,5,4,2,4,4,2,4,2,3,3,3,3,4,4,3,2,4,3,4,4,3,2,4,4,4,4,4,3
4,3,4,4,2,4,3,3,3,3,3,3,3,2,4,4,2,1,2,3,3,3,3,3,2,1,2,2,3,2,3
5,3,2,4,4,2,3,3,3,2,4,2,4,2,4,5,3,4,2,4,4,4,4,4,3,4,3,3,2,1,2
5,4,5,4,4,2,2,4,2,4,2,3,3,3,3,4,3,2,3,4,4,3,4,3,3,4,4,4,3,3,3
4,3,4,5,3,3,4,2,4,2,4,1,5,1,5,4,4,2,4,3,4,3,4,2,4,4,3,3,4,4,4
5,4,5,5,4,2,4,2,4,2,4,3,3,2,4,4,1,2,2,3,3,3,4,1,3,4,4,4,4,2,3
5,4,4,2,3,3,4,3,3,4,2,1,5,3,3,5,3,2,4,3,4,2,4,3,3,4,1,3,4,3,3
5,5,4,4,4,2,4,2,4,3,3,3,3,2,4,4,3,1,3,4,3,3,4,2,1,2,2,3,4,4,3
4,2,4,5,4,2,4,2,4,2,4,1,5,2,4,2,4,2,4,3,4,4,3,3,4,4,3,4,3,3,4
4,5,4,3,4,2,3,3,3,4,2,2,4,2,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3
4,4,4,4,3,3,4,2,4,2,4,3,3,4,2,4,3,3,3,3,4,3,3,3,3,4,2,2,4,3,3
5,5,5,5,2,4,5,3,3,4,2,1,5,2,4,4,3,2,3,3,3,3,4,3,4,4,4,4,4,4,3
4,5,4,4,3,3,4,2,4,2,4,1,5,2,4,5,3,3,3,4,4,3,4,4,2,4,4,4,3,4,3
5,2,5,5,4,2,4,4,2,3,3,2,4,4,2,5,3,2,3,4,3,3,4,2,2,4,4,4,4,4,3
5,3,5,5,3,3,3,4,2,5,1,2,4,2,4,4,1,1,3,4,4,1,4,2,4,4,1,1,4,2,1
5,5,5,5,3,3,3,3,3,4,2,2,4,2,4,5,4,3,4,4,4,3,4,3,4,4,4,4,4,4,3
2,3,2,4,3,3,4,2,4,4,2,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,2,4,4,4
5,4,5,5,3,3,3,4,2,4,2,2,4,3,3,5,4,2,2,4,3,2,4,3,3,4,3,4,4,4,4
5,3,5,5,3,3,5,4,2,3,3,3,3,2,4,3,1,1,4,4,1,4,4,1,3,4,1,3,4,4,2
4,3,4,5,4,2,4,2,4,4,2,3,3,2,4,4,2,1,3,3,2,2,4,3,3,4,4,4,4,4,3
4,4,5,4,2,4,5,2,4,3,3,1,5,3,3,4,3,1,3,4,2,3,3,2,3,4,3,4,4,3,3
5,4,5,5,1,5,5,1,5,4,2,1,5,1,5,5,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4
4,3,4,5,3,3,4,2,4,2,4,2,4,2,4,4,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3
4,4,4,4,3,3,4,3,3,3,3,2,4,1,5,5,4,1,4,4,2,3,3,2,2,4,3,4,4,4,4
5,4,3,5,2,4,3,3,3,4,2,3,3,3,3,4,3,2,2,3,2,3,4,3,2,4,4,4,4,4,4
4,4,4,5,3,3,2,4,2,4,2,2,4,2,4,5,3,3,4,4,4,3,4,3,4,4,3,4,4,3,3
5,3,4,4,4,2,2,3,3,4,2,4,2,4,2,2,3,1,1,3,4,4,4,3,3,3,4,4,4,2,2
5,3,5,5,3,3,4,3,3,4,2,4,2,2,4,4,4,3,4,4,3,4,4,3,3,4,3,4,4,4,3
4,5,4,4,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,4,3,2,3,3,3,3,3,3,3,3,3
4,5,4,3,3,3,2,4,2,3,3,2,4,3,3,5,4,3,4,4,4,2,3,2,2,4,3,4,3,4,3
5,5,5,5,3,3,4,3,3,3,3,1,5,1,5,5,3,2,4,4,3,2,4,4,4,4,3,4,4,4,4
3,3,4,4,4,2,4,2,4,4,2,2,4,2,4,4,3,1,2,3,3,2,3,2,1,2,1,3,3,3,3
5,5,5,5,5,1,3,3,3,4,2,3,3,3,3,3,4,2,4,4,4,3,3,3,3,3,3,4,4,4,3
3,4,4,5,3,3,3,2,4,4,2,2,4,1,5,4,3,2,4,4,4,4,1,1,3,4,2,4,4,3,1
5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,1,2,4,3,4,4,2,2,3,4,4,4,4,4
4,4,3,2,4,2,3,3,3,2,4,2,4,4,2,4,3,1,1,3,3,2,3,3,3,3,3,2,4,3,4
3,2,4,4,3,3,3,3,3,4,2,2,4,1,5,4,3,3,2,2,3,4,4,3,2,3,2,3,3,3,3
4,2,3,4,3,3,3,3,3,3,3,1,5,2,4,3,2,2,4,4,4,3,3,3,3,3,2,3,4,3,3
4,3,4,5,3,3,4,2,4,4,2,2,4,2,4,5,2,3,2,4,4,3,4,3,2,4,4,3,4,3,3
5,3,4,3,2,4,4,3,3,3,3,3,3,2,4,4,3,2,2,3,2,4,2,2,2,3,2,2,2,2,3
5,3,5,5,1,5,5,3,3,2,4,2,4,2,4,5,4,1,4,4,1,4,1,2,4,4,4,4,4,4,4
5,4,4,5,2,4,4,3,3,2,4,1,5,1,5,4,3,3,3,4,4,3,3,4,4,4,3,4,4,4,3
4,4,5,2,4,2,3,4,2,4,2,2,4,1,5,3,3,2,3,4,4,2,2,3,4,4,4,4,3,4,4
5,5,5,5,2,4,4,4,2,4,2,3,3,2,4,3,3,3,4,2,3,4,4,4,3,3,3,3,4,3,4
4,3,5,5,3,3,4,2,4,4,2,2,4,1,5,3,2,2,4,4,4,3,3,3,3,4,3,3,4,2,2
5,4,4,4,4,2,2,3,3,5,1,3,3,2,4,5,2,2,4,4,3,3,4,2,2,4,4,4,4,3,4
4,3,4,5,3,3,4,3,3,4,2,3,3,2,4,4,2,4,3,4,4,4,4,4,2,4,3,4,4,4,4
4,3,4,4,4,2,4,4,2,4,2,2,4,3,3,4,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3
5,4,2,5,5,1,5,4,2,4,2,1,5,3,3,4,3,1,1,4,1,2,3,2,1,4,4,3,3,3,3
5,3,4,4,2,4,3,1,5,2,4,3,3,2,4,5,3,4,4,4,4,3,3,4,3,4,4,4,4,4,4
4,2,4,3,3,3,4,3,3,3,3,3,3,2,4,3,3,1,3,2,4,3,4,2,4,4,2,2,3,4,3
4,4,5,5,3,3,4,4,2,4,2,4,2,2,4,5,4,3,1,4,4,2,2,2,3,4,4,4,3,3,4
3,2,3,4,2,4,4,4,2,4,2,3,3,2,4,3,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3
5,5,5,5,3,3,3,5,1,5,1,5,1,4,2,5,4,4,4,4,3,3,4,4,4,4,1,4,4,4,4
4,5,5,5,4,2,4,4,2,4,2,3,3,4,2,4,2,1,4,4,2,3,3,2,3,4,2,4,4,3,3
4,3,4,5,4,2,4,4,2,3,3,3,3,3,3,4,2,1,4,2,2,2,4,1,1,4,2,3,4,3,3
5,4,1,5,4,2,2,3,3,4,2,4,2,2,4,4,3,3,3,3,4,3,3,4,3,4,4,4,4,3,3
4,5,5,4,4,2,4,5,1,4,2,5,1,4,2,5,4,2,1,4,3,3,2,1,3,4,2,4,3,3,1
4,4,3,4,4,2,3,4,2,4,2,1,5,2,4,4,1,2,2,4,3,2,3,3,2,4,2,4,3,1,2
4,4,4,5,4,2,3,3,3,4,2,2,4,2,4,5,4,2,4,4,3,2,4,3,3,4,4,4,4,4,1
5,3,5,5,3,3,3,4,2,4,2,1,5,3,3,3,3,1,4,4,1,3,4,1,2,4,4,4,4,4,4
4,3,4,5,1,5,4,1,5,4,2,2,4,1,5,5,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4
3,2,3,4,3,3,3,4,2,4,2,2,4,2,4,4,2,2,3,3,3,3,3,3,3,3,2,3,3,1,3
5,4,5,4,3,3,2,4,2,2,4,2,4,1,5,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
3,4,4,4,3,3,4,3,3,4,2,2,4,2,4,5,3,3,4,4,3,4,4,3,4,4,3,1,4,2,4
5,4,3,5,2,4,3,4,2,5,1,1,5,1,5,5,4,2,3,4,4,4,4,2,2,4,4,4,4,4,4
2,2,4,3,2,4,4,4,2,3,3,1,5,3,3,4,2,3,4,4,4,4,4,3,3,3,3,3,4,3,3
5,4,5,5,2,4,5,3,3,1,5,3,3,2,4,5,4,2,3,4,3,4,4,3,4,3,4,4,4,4,4
4,5,4,4,3,3,4,3,3,3,3,2,4,2,4,4,4,3,2,4,4,2,4,3,3,4,4,3,3,4,2
4,5,4,3,3,3,3,4,2,2,4,3,3,3,3,4,3,1,3,4,4,4,3,4,2,4,3,2,2,1,2
4,4,4,4,2,4,4,2,4,2,4,2,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,4,4,4,2,2,2,4,3,3,2,4,2,4,3,3,4,2,4,4,4,4,4,3,4,2,3,4,4,3
4,4,3,2,4,2,3,4,2,2,4,2,4,1,5,5,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4
5,5,4,4,3,3,4,2,4,3,3,2,4,2,4,4,3,1,3,3,2,3,3,3,2,4,4,4,4,4,4
5,3,4,4,1,5,5,3,3,5,1,2,4,2,4,3,2,1,1,4,4,4,4,3,1,4,4,4,4,3,3
3,5,4,5,2,4,2,2,4,3,3,2,4,1,5,5,1,2,2,3,4,2,1,3,3,3,1,3,4,2,4
4,3,4,4,2,4,3,3,3,2,4,2,4,1,5,5,4,3,4,4,2,4,3,4,4,4,4,4,4,4,4
5,4,5,5,4,2,3,3,3,4,2,1,5,1,5,4,1,2,2,4,4,2,4,4,4,4,3,4,4,2,3
4,5,5,3,4,2,3,2,4,3,3,1,5,2,4,3,4,2,2,3,4,4,4,3,3,4,4,4,4,4,3
5,4,5,4,4,2,4,2,4,3,3,3,3,3,3,4,3,1,2,4,3,2,4,1,3,4,1,3,4,4,4
5,5,5,5,4,2,4,2,4,4,2,4,2,2,4,5,3,3,3,4,3,1,3,2,1,4,3,4,3,4,3
5,3,4,4,4,2,3,2,4,3,3,2,4,3,3,5,3,2,2,4,4,4,4,3,2,4,3,3,3,3,4
5,2,4,5,3,3,3,3,3,3,3,2,4,2,4,4,3,4,2,4,4,4,4,4,1,4,3,3,4,4,4
3,2,4,5,5,1,1,5,1,5,1,4,2,2,4,4,3,3,3,4,4,3,4,4,4,4,3,3,4,4,4
5,4,5,5,3,3,5,4,2,4,2,2,4,2,4,4,4,1,4,4,4,3,4,4,4,4,4,4,4,3,4
5,4,4,5,3,3,4,4,2,4,2,4,2,1,5,5,4,1,4,4,1,3,4,3,4,4,4,4,4,4,2
5,5,5,4,3,3,3,3,3,3,3,2,4,3,3,3,3,2,4,4,3,3,4,3,3,4,4,4,4,4,4
5,4,5,5,3,3,5,4,2,4,2,3,3,4,2,4,3,3,3,4,3,4,3,3,4,4,3,3,4,4,3
5,3,4,4,3,3,3,2,4,3,3,2,4,2,4,3,3,3,1,3,3,3,2,3,3,3,4,4,4,3,3
4,4,4,4,3,3,3,2,4,4,2,3,3,3,3,4,3,2,3,3,2,2,3,2,2,3,2,3,3,3,3
4,3,4,5,3,3,3,2,4,4,2,3,3,2,4,5,4,3,3,4,3,3,3,3,4,4,1,1,3,3,2
4,4,4,5,3,3,2,2,4,3,3,3,3,4,2,3,1,3,2,4,3,3,2,2,2,4,3,4,4,2,2
4,4,5,4,3,3,5,2,4,4,2,1,5,3,3,5,1,3,3,4,4,2,4,3,3,4,4,4,3,3,4
5,4,4,4,2,4,4,4,2,3,3,2,4,1,5,5,3,2,4,4,3,3,3,4,3,3,3,3,4,4,2
4,4,5,4,4,2,4,1,5,3,3,2,4,3,3,4,4,3,4,4,4,4,4,4,4,3,2,3,3,3,3
5,4,4,5,3,3,3,4,2,4,2,4,2,2,4,4,1,2,2,1,1,1,3,3,2,3,3,3,3,3,3
5,3,5,2,3,3,5,2,4,3,3,3,3,2,4,5,4,1,4,4,1,2,4,2,2,4,4,4,4,4,4
5,4,5,5,3,3,5,4,2,5,1,4,2,2,4,4,3,2,2,4,2,2,1,1,1,3,2,2,4,4,4
