motivation_average,originality_average,score_total,motivation,originality
0.999276787,0.99980855,6,1,1
0.999933124,0.350045854,6,1,0
0.99993515,0.353006294,5,1,0
0.999926448,2.60E-05,3,1,0
0.084104184,0.300360754,3,0,0
0.919059202,0.001951323,5,1,0
0.999761403,0.999980688,5,1,1
0.97813344,0.5398296,6,1,1
0.999924779,0.200472543,5,1,0
0.986267209,2.88E-05,3,1,0
0.002080259,0.879895687,3,0,1
0.373596886,0.499999227,3,0,0
0.999927938,0.537133681,6,1,1
0.991661131,0.494709479,5,1,0
0.000242885,0.498095951,6,0,0
0.499655392,0.496585896,3,0,0
0.66663804,0.795520626,5,1,1
0.000158212,0.663475416,6,0,1
0.505195621,0.599683223,6,1,1
0.996374786,0.660093164,5,1,1
0.250695224,0.589170911,5,0,1
0.228659973,0.992184013,5,0,1
0.999919415,0.407017865,5,1,0
8.36E-05,0.428092735,3,0,0
0.250049187,0.571426733,5,0,1
0.99992311,0.500587972,6,1,1
0.666803719,0.50001302,3,1,1
9.04E-05,0.305422093,6,0,0
0.999931335,0.999981999,5,1,1
0.999787569,0.326591773,6,1,0
0.999925613,0.384477979,6,1,0
0.993759423,0.575985139,6,1,1
0.999729574,0.295903602,6,1,0
0.666384721,2.78E-05,3,1,0
0.838006655,0.799267419,6,1,1
0.999929905,0.331933615,5,1,0
0.928797444,0.324491661,5,1,0
0.002289997,0.620820154,6,0,1
0.999924302,0.98364234,6,1,1
0.000135805,2.38E-05,3,0,0
0.999923348,0.499998869,3,1,0
0.999896884,0.875103474,6,1,1
0.998471916,0.999916553,3,1,1
0.99991852,0.999745262,8,1,1
0.999915719,0.667000886,8,1,1
7.53E-05,0.398953458,8,0,0
0.000106519,0.490074244,6,0,0
0.67010306,0.285652488,8,1,0
0.0048823,0.54156335,8,0,1
0.999874234,0.166665833,5,1,0
0.999521494,0.680004436,5,1,1
8.32E-05,0.142875148,5,0,0
0.00013346,0.170069137,5,0,0
0.351492175,0.420601541,8,0,0
0.743281593,0.473390047,6,1,0
0.029043483,0.537298754,6,0,1
0.999906182,0.500002197,8,1,1
0.491170863,0.487915973,6,0,0
0.999836326,0.984250799,5,1,1
0.999300569,0.831802068,8,1,1
0.999931097,0.943320374,6,1,1
6.19E-05,0.000843764,3,0,0
0.99983561,0.637945542,6,1,1
0.999936223,0.523654473,6,1,1
0.615957674,0.428609293,5,1,0
0.00120467,0.255503922,5,0,0
0.999917984,0.431234616,5,1,0
0.002323636,0.790206804,5,0,1
0.500244681,0.252496733,3,1,0
0.102486759,0.249188105,6,0,0
0.999770314,0.666369349,3,1,1
0.292704721,0.000668219,3,0,0
7.32E-05,0.500009211,5,0,1
0.999692589,0.614753555,3,1,1
0.928911507,0.333009297,5,1,0
0.499981331,0.667203249,3,0,1
0.999931773,0.629882402,8,1,1
0.999935269,0.314428459,6,1,0
0.666637983,0.658964434,6,1,1
0.488935177,0.000518596,5,0,0
0.999775469,0.666663083,8,1,1
0.999919891,0.000521051,8,1,0
0.754902959,0.356293229,8,1,0
0.02446869,0.400001316,5,0,0
0.999935448,0.363467597,5,1,0
0.020098584,0.668586825,6,0,1
0.992895663,0.749708168,5,1,1
0.127398534,0.258904836,5,0,0
0.371667697,0.49999989,3,0,0
0.50003411,0.664111407,5,1,1
0.000279279,0.99713929,8,0,1
0.495080215,0.564978416,8,0,1
0.999784052,0.586989698,8,1,1
0.00165336,0.076671713,6,0,0
9.03E-05,0.210508172,6,0,0
0.999917507,0.333263666,5,1,0
7.78E-05,0.100031718,5,0,0
0.191429779,0.31383404,3,0,0
0.999845475,0.280664952,3,1,0
0.999937654,0.99998335,6,1,1
0.995913297,0.3329811,5,1,0
0.999937177,0.665481078,3,1,1
0.999772102,0.741677301,5,1,1
0.000149001,2.81E-05,1,0,0
0.333290722,0.142871937,3,0,0
0.500006573,0.286432801,3,1,0
0.50022551,0.500128315,8,1,1
0.988130212,0.33905651,5,1,0
0.010611031,0.999984384,5,0,1
0.542127915,0.797521859,6,1,1
0.250046687,0.345614893,6,0,0
6.86E-05,0.155728714,3,0,0
0.999900301,0.660264481,6,1,1
0.999925613,0.501378849,6,1,1
0.954674482,2.18E-05,6,1,0
0.238019229,2.55E-05,5,0,0
0.74994867,0.406194761,8,1,0
0.999930024,0.47713498,6,1,0
0.999924541,0.665305112,6,1,1
0.999938488,0.008822564,5,1,0
0.499979162,0.636957901,5,0,1
0.489733973,0.476315111,6,0,0
0.499999347,0.367015303,6,0,0
0.999570072,0.344679311,8,1,0
0.999849588,0.333365888,5,1,0
0.492010001,0.48964509,5,0,0
6.30E-05,0.00032147,3,0,0
0.999935746,0.799953423,3,1,1
0.679586684,0.571650519,6,1,1
0.999938369,0.704060407,6,1,1
0.999909401,0.97179081,5,1,1
0.999928892,0.666664636,6,1,1
0.666423674,0.209872436,6,1,0
0.640638923,0.498561692,5,1,0
0.356315523,0.999976397,8,0,1
0.999897242,0.500004204,6,1,1
0.999639183,0.285726703,3,1,0
0.999934196,0.666147081,3,1,1
0.99915567,0.484767379,5,1,0
0.653023686,0.06362699,6,1,0
0.987338275,0.40843565,5,1,0
0.999892354,0.500394152,8,1,1
0.99993372,0.415080125,6,1,0
0.967678964,0.561988265,8,1,1
0.999936223,0.418186792,6,1,0
0.999916375,0.747334279,8,1,1
0.999936581,0.499999258,6,1,0
0.856664777,2.35E-05,5,1,0
0.999933362,0.333347736,6,1,0
0.991663337,0.801709374,8,1,1
0.024326181,0.590097423,3,0,1
0.9728598,0.798139891,8,1,1
0.999782845,0.608509304,6,1,1
0.999773443,0.66627387,6,1,1
0.500058292,0.600141578,6,1,1
0.999932528,0.561138534,5,1,1
0.508881011,0.601847206,3,1,1
0.999825805,0.999881029,6,1,1
0.500007839,0.45141867,3,1,0
9.51E-05,0.200014982,3,0,0
0.037087146,0.435815189,5,0,0
0.9336752,0.992221212,5,1,1
0.999900818,0.250028143,3,1,0
0.999928474,0.999927104,3,1,1
0.999928951,0.536506242,6,1,1
0.754956772,0.599934623,6,1,1
0.709524781,0.01181642,6,1,0
0.333371877,0.250012951,6,0,0
0.50001045,0.654572647,6,1,1
0.999930501,0.999060571,8,1,1
0.968038976,0.000182767,8,1,0
0.437221703,0.016307244,3,0,0
0.995014474,0.697268737,6,1,1
0.99992613,0.446647067,6,1,0
0.999917269,0.445935123,6,1,0
0.000216374,0.749745641,5,0,1
0.999919951,0.573629221,6,1,1
0.999891818,0.666576752,6,1,1
0.999839664,0.750102092,6,1,1
0.999936581,0.716779291,5,1,1
0.998097837,0.857090498,8,1,1
0.997466803,0.754972776,8,1,1
0.515034171,0.249335642,3,1,0
0.49999236,0.445843996,5,0,0
0.578668922,0.99988697,6,1,1
0.749965967,0.36528306,3,1,0
0.871128112,0.999957919,8,1,1
0.999754667,0.666562417,6,1,1
0.00027954,0.578787929,8,0,1
0.250796223,0.168007725,1,0,0
0.799238746,0.43679116,8,1,0
0.000128412,0.399625527,6,0,0
0.19986896,0.412704308,6,0,0
0.24987112,3.55E-05,3,0,0
0.999915361,0.261507656,5,1,0
0.556827247,0.99998045,8,1,1
0.666597072,0.332883937,3,1,0
0.999919176,0.511494445,5,1,1
0.999891996,0.999970198,6,1,1
0.99990654,0.744853333,8,1,1
0.999930263,0.417974011,8,1,0
0.987871885,0.256798308,6,1,0
0.002062716,0.002293414,5,0,0
0.757401049,0.438556006,5,1,0
0.000119401,0.425518554,6,0,0
0.999913653,0.720106089,8,1,1
0.999933958,0.200016331,6,1,0
0.000249672,0.789311828,6,0,1
0.999923706,0.195630876,1,1,0
0.999929428,0.174280246,3,1,0
0.981457472,0.958612335,5,1,1
0.500129818,0.162505382,6,1,0
0.669536804,0.728476572,6,1,1
0.999938846,0.39402306,8,1,0
0.865536201,0.722671157,6,1,1
8.52E-05,2.53E-05,5,0,0
0.500243332,0.994357288,5,1,1
0.666631909,0.401054778,6,1,0
0.999895573,0.999956489,6,1,1
0.999855975,0.7497776,8,1,1
6.16E-05,0.665494652,5,0,1
0.000724877,0.757976502,8,0,1
0.999089241,0.66279511,3,1,1
0.999927819,0.600001978,6,1,1
0.745024401,0.265062855,1,1,0
0.999929388,0.999961019,5,1,1
0.018964384,0.402931011,3,0,0
0.970038056,0.559069758,3,1,1
0.671109977,0.500186115,5,1,1
0.819345832,0.282763723,3,1,0
0.333385556,0.397179982,3,0,0
0.525715641,0.399916893,5,1,0
0.999929249,0.524078591,5,1,1
0.999918103,0.529370588,8,1,1
0.60563075,0.500064919,6,1,1
0.971765518,0.430415003,5,1,0
0.499631265,0.966620922,6,0,1
0.994871616,0.30133293,5,1,0
0.99990654,0.999984264,8,1,1
0.101630628,3.62E-05,8,0,0
0.604247303,0.412096113,5,1,0
0.999925971,0.636372205,8,1,1
0.838633597,0.749978395,5,1,1
0.999934077,0.999982476,8,1,1
0.996141613,0.142874689,3,1,0
0.333445043,0.035721063,6,0,0
0.81937921,0.500006595,6,1,1
0.999792039,0.995018601,6,1,1
0.999911189,0.558389791,5,1,1
0.999927878,0.999970376,6,1,1
9.10E-05,0.49861623,6,0,0
0.405997122,0.447322771,5,0,0
8.17E-05,0.121258512,5,0,0
0.009682249,0.291786451,6,0,0
0.461046577,0.392339167,6,0,0
0.500139524,0.411264961,3,1,0
0.999679804,0.54492829,8,1,1
7.00E-05,0.99998188,8,0,1
0.932971895,2.05E-05,6,1,0
0.999928951,0.666421457,6,1,1
9.59E-05,0.33329152,6,0,0
0.999928594,0.600000109,6,1,1
0.999929845,0.39028858,8,1,0
0.000511002,0.389242844,3,0,0
0.512015593,0.312933772,3,1,0
0.999911785,0.734606728,3,1,1
0.999940634,0.499017704,5,1,0
0.999923587,0.542650162,3,1,1
0.999921143,0.668423065,5,1,1
7.80E-05,0.361805021,5,0,0
0.999927998,0.333385527,3,1,0
0.999925375,0.333364567,3,1,0
0.999876797,0.525130332,6,1,1
0.998771966,0.308927033,6,1,0
0.646603107,0.523098471,5,1,1
0.999932885,0.000825665,6,1,0
0.99980098,0.40714285,5,1,0
0.998192608,0.499893684,6,1,0
0.329347948,2.07E-05,3,0,0
0.950853944,0.386761624,3,1,0
0.000148575,0.337936835,3,0,0
0.999905825,0.783485526,10,1,1
0.609831267,0.199967534,3,1,0
0.911196709,0.394498902,6,1,0
0.999926567,0.449695372,6,1,0
0.981385231,0.542154866,6,1,1
0.999917209,0.000144625,6,1,0
0.999928594,0.402698116,5,1,0
0.615970217,0.01007455,5,1,0
0.37694439,0.621817725,6,0,1
0.99993217,0.666252966,6,1,1
0.999928176,0.525013664,5,1,1
0.999884486,0.499118642,5,1,0
8.90E-05,0.666846426,3,0,1
0.001257495,0.39130659,6,0,0
0.749957059,0.598440308,6,1,1
0.999932885,0.635965148,3,1,1
0.0004311,0.58367078,3,0,1
0.001075745,0.960526049,1,0,1
0.999915302,0.725732713,6,1,1
0.999928355,0.476107502,6,1,0
0.336671919,0.434270916,5,0,0
0.741910629,0.467559737,6,1,0
0.962065061,0.396003205,5,1,0
0.247247717,0.370152291,6,0,0
0.999926627,0.806351144,8,1,1
0.999537796,0.666656651,3,1,1
0.438831022,0.286703219,3,0,0
0.787782606,0.428574051,6,1,0
0.919954419,0.624548213,6,1,1
0.99003464,0.491509641,6,1,0
0.499787773,0.461521831,6,0,0
6.80E-05,0.014465462,3,0,0
0.99993372,0.403708859,5,1,0
0.999901851,0.600125938,8,1,1
0.001699267,0.08403984,6,0,0
0.11709217,0.42573061,6,0,0
0.500100205,0.298421342,8,1,0
0.000123384,0.98417899,6,0,1
8.50E-05,0.500008845,8,0,1
0.000223962,0.621018925,8,0,1
0.013449731,0.166687522,8,0,0
0.999929607,0.391064221,6,1,0
0.999933124,0.798302009,6,1,1
0.250055062,0.025327529,3,0,0
0.999903083,0.999984145,5,1,1
0.999831915,0.174320956,3,1,0
0.023550113,0.351321197,6,0,0
0.00014526,0.332316436,6,0,0
0.00013802,0.375896666,6,0,0
0.999933004,0.333337049,3,1,0
0.666515607,0.430152055,5,1,0
0.664197885,0.457469846,3,1,0
0.845949709,0.207899861,5,1,0
0.999905586,0.749970568,6,1,1
0.5900157,0.386582436,6,1,0
0.001617558,0.140073877,5,0,0
0.033327822,0.250014768,6,0,0
6.03E-05,0.917607188,3,0,1
0.981296976,0.442156802,6,1,0
0.647722755,0.655051165,3,1,1
0.99993813,0.63950553,6,1,1
0.754818936,0.338928192,3,1,0
0.999647826,0.337860783,5,1,0
0.799768866,0.666442698,6,1,1
0.999918878,0.999670058,5,1,1
0.49991533,6.89E-05,3,0,0
0.945444196,0.990513027,8,1,1
0.999938011,0.666660826,6,1,1
0.672773333,0.660822016,8,1,1
0.995839208,0.654393057,5,1,1
0.343935722,0.66404175,8,0,1
0.005156374,0.506410346,6,0,1
0.511382199,0.603301764,5,1,1
0.99917835,0.499873668,5,1,0
0.999932528,0.666644553,5,1,1
0.999935865,0.960024993,6,1,1
0.666641569,0.340450725,6,1,0
0.499853626,0.026658379,5,0,0
0.999934316,0.428555024,5,1,0
0.000179024,0.500007782,6,0,1
0.99993372,0.68074885,8,1,1
0.998729815,0.686657275,6,1,1
0.500234382,0.031607744,6,1,0
0.584680319,0.282174532,6,1,0
0.999927402,0.749728551,6,1,1
0.999767274,0.439665063,5,1,0
0.999897718,0.490732922,5,1,0
0.999918699,0.492482949,5,1,0
0.418622004,0.333308466,6,0,0
0.999863893,0.571072604,3,1,1
7.68E-05,2.36E-05,5,0,0
0.490966554,0.548055035,3,0,1
0.999932408,0.483179505,5,1,0
0.993023276,0.99969244,3,1,1
0.999919295,0.999979218,8,1,1
0.525801631,0.999973953,5,1,1
0.994607973,0.758968696,6,1,1
0.357941574,0.705313207,1,0,1
0.999892235,0.588698242,3,1,1
0.666667182,0.998365253,6,1,1
0.428606987,0.749521484,6,0,1
0.666649842,0.999973774,5,1,1
0.449289858,0.380357586,5,0,0
9.88E-05,0.398477244,5,0,0
0.034722112,0.500022654,6,0,1
0.99991107,0.179258941,6,1,0
0.751269346,0.272610078,5,1,0
0.999900937,0.984257758,6,1,1
0.500030317,0.500004985,6,1,1
0.783029683,0.833192724,6,1,1
0.514245559,0.000521868,5,1,0
0.914274842,0.500004937,8,1,1
0.999925852,0.991984208,5,1,1
0.999925256,0.403741072,5,1,0
0.9999336,0.517817149,3,1,1
0.999713063,0.999703854,8,1,1
0.500021334,0.333346244,8,1,0
0.499987762,0.660316179,6,0,1
0.499975554,0.100403656,6,0,0
0.999927487,0.612794304,8,1,1
8.27E-05,2.40E-05,8,0,0
9.43E-05,0.894390494,5,0,1
0.999913931,0.599991318,3,1,1
0.999927878,0.747123116,3,1,1
0.999910325,0.800006206,3,1,1
0.3658271,2.04E-05,6,0,0
9.02E-05,0.264600187,1,0,0
0.999758065,0.509328981,8,1,1
0.827444494,0.828651111,8,1,1
0.378646656,0.999982476,5,0,1
0.999901175,0.999981701,8,1,1
0.003929805,0.99904646,6,0,1
0.999624908,0.66669026,8,1,1
0.999911904,0.665536059,6,1,1
5.92E-05,0.999138832,5,0,1
0.996399611,0.250008149,6,1,0
0.999922752,0.749990156,6,1,1
0.97584337,0.628823882,8,1,1
0.999889255,2.44E-05,6,1,0
0.647279203,0.666364228,5,1,1
0.794262856,0.485968284,5,1,0
0.491957138,0.325167399,3,0,0
0.500368905,0.512323922,3,1,1
0.164428336,0.322138541,5,0,0
8.62E-05,0.498728338,6,0,0
0.999921203,0.347876921,8,1,0
0.99982661,0.202558088,5,1,0
0.000192057,0.17236286,3,0,0
0.999915421,0.790040347,6,1,1
0.000146132,0.37935341,5,0,0
0.000169118,2.15E-05,6,0,0
0.000191612,0.374356466,6,0,0
0.999873608,0.897046884,6,1,1
0.435494448,0.324683163,3,0,0
0.994914711,0.714003112,3,1,1
0.499739781,0.500036674,3,0,1
0.50013691,0.200014465,3,1,0
0.659670353,0.041364594,3,1,0
0.99993968,0.998013824,8,1,1
0.999893188,0.841327806,8,1,1
0.500102264,0.333076964,3,1,0
0.999922633,0.422683044,1,1,0
0.999732286,0.49987154,3,1,0
0.000378851,0.460845246,6,0,0
0.999882579,0.200653216,6,1,0
0.999926329,0.40093492,8,1,0
0.666443067,0.643943584,8,1,1
0.666640101,0.516815933,5,1,1
0.500050954,0.572199446,8,1,1
0.731017746,0.748923871,6,1,1
0.999927878,0.307643245,3,1,0
0.749973192,0.671734794,6,1,1
0.499996295,0.664833615,5,0,1
0.842732668,0.373762838,6,1,0
0.002283667,0.266183097,5,0,0
0.004026226,2.17E-05,5,0,0
0.995565236,0.504218158,5,1,1
0.006471331,0.652422012,6,0,1
0.57071784,0.575953459,3,1,1
0.791469891,0.464476911,3,1,0
0.5013062,0.297662881,3,1,0
0.664311653,0.416510317,3,1,0
0.666697579,0.154615053,3,1,0
0.500200058,0.581265576,6,1,1
0.999930263,0.226146036,5,1,0
9.31E-05,0.142400948,5,0,0
0.999925256,0.500006556,6,1,1
0.999928832,0.133138565,6,1,0
0.333357861,0.33335222,6,0,0
0.613020949,0.285579157,5,1,0
0.707948402,0.384685,5,1,0
0.999937773,0.166691805,5,1,0
7.33E-05,0.666245545,5,0,1
0.000443415,0.001033623,8,0,0
0.999884605,0.999978781,5,1,1
0.999922156,0.847103059,6,1,1
0.999930382,0.749990207,8,1,1
0.999885798,0.799654467,8,1,1
0.750109663,0.999964833,8,1,1
0.999897242,0.485262609,8,1,0
0.998185595,0.71532482,6,1,1
0.999905825,0.487267964,6,1,0
0.99992466,0.749179767,6,1,1
0.304203523,0.500010396,3,0,1
0.999890089,0.500008187,6,1,1
0.000140795,0.008899356,3,0,0
0.804028129,0.500005469,6,1,1
0.999651074,0.999889851,6,1,1
0.564776257,0.442337323,3,1,0
0.666667415,0.333261294,5,1,0
0.998708228,0.499717398,5,1,0
0.939263582,0.14287114,6,1,0
0.999930382,0.599312632,8,1,1
0.999935865,0.591004389,6,1,1
0.669672623,0.338204019,8,1,0
0.252194257,0.499925382,6,0,0
0.999928117,0.333621908,6,1,0
0.000576525,2.28E-05,1,0,0
0.000362948,0.250150835,5,0,0
0.999905229,0.666651302,5,1,1
0.999917626,0.286758001,5,1,0
0.999933481,0.250011309,5,1,0
0.333998534,0.480108185,6,0,0
7.55E-05,0.502654496,5,0,1
0.999907374,0.153241521,5,1,0
0.999923468,0.262175601,5,1,0
0.999922216,0.707655675,8,1,1
0.001992353,0.495971302,6,0,0
0.980603844,0.997579396,8,1,1
0.000194959,0.680257766,8,0,1
0.999884605,0.999983788,6,1,1
0.999922752,0.999709934,6,1,1
0.073560514,0.999982238,6,0,1
0.001039652,0.998255312,3,0,1
0.996325195,0.291258623,3,1,0
0.609624111,0.721349275,5,1,1
0.999911308,0.505131479,6,1,1
0.016013894,0.250011487,6,0,0
6.77E-05,0.683883029,3,0,1
0.007551046,0.128840752,3,0,0
0.999931216,0.193028263,3,1,0
0.999925852,0.377152883,6,1,0
0.999813497,0.166725213,5,1,0
0.999921679,0.297491552,6,1,0
0.500588005,0.749090236,6,1,1
0.666635436,0.270837834,5,1,0
0.000780343,0.001492365,5,0,0
0.999917984,0.567643128,8,1,1
0.500015739,0.332154172,1,1,0
0.999197096,0.321405933,3,1,0
0.999934793,0.500001757,6,1,1
0.999820739,0.999975026,5,1,1
0.999873877,0.890471891,10,1,1
0.688862157,0.127031531,3,1,0
0.536745023,0.333341115,3,1,0
0.999931693,0.2913315,5,1,0
9.64E-05,0.377613709,6,0,0
0.50001899,0.331596486,3,1,0
0.99983871,0.348008014,3,1,0
0.002057178,0.251594615,8,0,0
0.176453168,0.999965072,3,0,1
0.997675389,0.749977124,6,1,1
0.000117377,0.333341636,6,0,0
0.999897599,0.999907732,6,1,1
0.331630056,0.420931253,8,0,0
8.30E-05,0.571422976,5,0,1
0.044938058,0.989428818,8,0,1
0.999919593,0.410940011,6,1,0
0.001101777,0.500001375,6,0,1
0.508386985,0.738540118,6,1,1
0.99988091,0.480031888,8,1,0
0.892794251,0.999945084,8,1,1
7.52E-05,0.998571977,8,0,1
0.999906103,0.746917997,6,1,1
0.999888062,0.501898292,8,1,1
0.500546511,0.760083013,6,1,1
0.947054476,0.059220095,3,1,0
0.95282203,0.397689148,8,1,0
0.667869224,0.831923914,8,1,1
0.999931574,0.666725127,8,1,1
0.500079375,0.133640255,8,1,0
0.999930859,0.999919534,5,1,1
0.440793108,0.532605965,8,0,1
0.000204653,0.666087481,6,0,1
0.999928832,0.818955968,8,1,1
0.842574,0.749351872,6,1,1
0.849898532,0.224512813,6,1,0
0.999929428,0.662208739,6,1,1
8.04E-05,0.143480214,5,0,0
0.502996778,0.502730751,5,1,1
0.999920726,0.856699279,6,1,1
0.340235842,0.744642006,5,0,1
0.000520251,0.096565144,5,0,0
0.9999277,0.99998041,5,1,1
0.999904911,0.00028812,6,1,0
0.999889374,2.17E-05,5,1,0
0.999918103,0.499426814,6,1,0
0.675575424,0.666662162,5,1,1
0.666642238,0.749759662,5,1,1
0.999933362,0.491076558,8,1,0
0.9998312,0.999967456,10,1,1
0.999899507,0.996917474,8,1,1
0.336917055,0.333336361,3,0,0
0.500008956,0.499998079,5,1,0
0.999925256,0.666567847,6,1,1
0.141845022,0.926574469,6,0,1
0.368678895,0.496574148,5,0,0
7.94E-05,0.352054287,6,0,0
0.990552366,0.671325882,8,1,1
0.000322273,0.000485202,5,0,0
0.999250114,0.74303399,8,1,1
0.999929428,0.50043889,6,1,1
0.334009324,0.250257884,6,0,0
0.666633099,0.332104657,5,1,0
0.00069012,0.399748477,6,0,0
0.999855638,0.001936521,3,1,0
0.00010456,0.278802807,3,0,0
0.999659419,0.998082022,8,1,1
6.70E-05,2.11E-05,6,0,0
0.999892831,0.000116816,5,1,0
0.99990344,0.650292341,5,1,1
0.998657569,0.619641084,6,1,1
0.999926209,0.333668577,5,1,0
0.99955976,0.562181633,8,1,1
0.974681417,0.666660077,6,1,1
0.035399199,0.59452374,6,0,1
0.338416526,0.638607113,8,0,1
0.999855995,0.402339756,8,1,0
0.97449373,0.42680887,8,1,0
0.381218392,0.533731575,6,0,1
0.99991405,0.096595313,5,1,0
0.986418545,0.322153457,6,1,0
0.883520067,0.251651414,1,1,0
0.666667949,0.333338349,3,1,0
0.000135742,0.142740135,8,0,0
0.499964179,0.224132245,3,0,0
0.590670382,0.999862194,8,1,1
7.15E-05,0.598695568,8,0,1
0.013489466,2.37E-05,6,0,0
0.500002276,0.400749494,3,1,0
0.500089403,0.340243655,3,1,0
0.933551669,0.799988402,8,1,1
0.760056076,0.347727015,3,1,0
0.999912779,0.713266502,3,1,1
0.999710143,6.36E-05,3,1,0
0.915693939,0.549755871,8,1,1
0.997955918,0.685428749,10,1,1
0.666920707,0.828959135,6,1,1
0.506677991,0.997146755,8,1,1
0.999941349,0.00013387,5,1,0
9.61E-05,0.427603422,3,0,0
0.999812782,0.428317907,5,1,0
0.999915123,0.500002005,6,1,1
