clarity_average,contribution_average,evidence_average,motivation_average,originality_average,relatedwork_average,relevance_average,clarity_num,contribution_num,evidence_num,motivation_num,originality_num,relatedwork_num,relevance_num,score_total
0.33335619,0.662316169,0.104011492,0.749862336,0.333471805,0,0,3,6,10,4,6,0,0,3
0,0.005929969,2.49E-05,0.006756292,0.499842643,0,0.106031246,0,2,2,1,2,0,1,3
0.999982953,0.49986036,0.000699048,0.0391437,0.023073391,0,0,1,2,3,1,2,0,0,3
0.500086879,0.99922204,0.666410872,0.999923944,0.599790445,0.999951601,0,2,1,6,2,5,1,0,6
0.000914506,0,0.33359138,0.393405135,0.234795391,0,0,2,0,3,2,5,0,0,6
1.24E-05,0.667759644,0.074336772,0.499998557,0.195924731,0.003937094,0.999847293,8,3,7,2,10,2,1,3
2.12E-05,0,0.260127074,0.134405003,0.266423441,0.333341307,0,1,0,12,2,9,3,0,3
1.46E-05,0.464173931,0.084582529,0.702698876,0.397682471,0.453702599,0,8,13,22,7,17,1,0,3
0.17637946,0.999945283,0.249133485,0.001477698,0.699256679,0,0,10,1,8,1,7,0,0,3
5.58E-05,0.000128297,0.284303678,0.400019374,0.539947621,3.40E-05,0.028529983,5,2,7,5,11,1,1,3
0.289951246,0.299908596,0.125332958,0.000182926,0.418653719,0,0,3,3,8,1,12,0,0,3
0.142937124,0.000116382,0.078565667,0.665872513,0.37631946,4.38E-05,0.000625075,21,1,10,3,8,1,2,10
0.346754909,0.520891131,0.599992225,0.996071741,0.428581883,0,0.00342258,6,4,5,4,7,0,2,8
0.99998045,0.998806983,0.20121254,0.000217658,0.500001373,0,0,1,2,5,1,2,0,0,5
0.333009873,0.501949729,0.476444967,7.59E-05,0.666660956,0,0.986876816,6,6,8,1,3,0,2,6
0.686565207,4.96E-05,0.644595488,0.999908805,0.749953279,0,0,3,1,3,2,4,0,0,5
0.150187823,0.531756802,0.213351999,0.500001358,0.443679241,0,0.010491815,5,9,14,2,9,0,2,3
0.600454575,0.999743164,0.571384614,0.998059452,0.999982357,0.00218823,0.520928936,5,1,7,2,1,1,2,8
5.46E-05,0.999718249,0.261339644,0.976928115,0.8207064,0.433478027,0.002068698,3,2,3,1,5,2,1,6
1.71E-05,0,0.195715156,0.990359147,0.49471043,0,0,5,0,10,3,7,0,0,5
1.71E-05,0.933880091,0.263738171,8.44E-05,0.333341189,0,0,5,1,7,1,3,0,0,3
8.24E-05,0.833123794,0.143258543,0.953862786,0.500246925,5.87E-05,0.001455309,2,6,7,2,4,1,2,3
0.999980688,0,0.500002084,0.999909163,0.513826575,0,0.999900937,1,0,2,1,4,0,1,8
0.999942382,0.715101473,0.090897789,0.499981866,0.162567721,0.002503627,0,3,4,4,2,6,1,0,6
0.402166657,0.665373312,0.288489204,0.999943137,0.999889612,0,0.999904037,5,3,9,1,1,0,1,6
0.031485956,0.655435929,0.128122797,0.000167129,0.300124755,0.255253304,0.607978377,20,14,25,4,5,6,6,6
0.500999694,6.31E-05,0.375409729,7.60E-05,2.80E-05,0,0,2,1,2,1,3,0,0,6
7.27E-05,0.480047168,0.149685585,0.49994367,0.287079562,0.407689106,0,15,12,20,2,11,2,0,5
0.038457945,4.03E-05,2.49E-05,0.999541044,0.308409853,4.45E-05,0.00063341,2,3,4,1,6,2,3,5
0.172673825,0.419944229,8.56E-05,0.357314461,0.368063603,0.012231433,0.758212328,5,8,5,6,6,1,1,5
0.666044483,0,1.98E-05,0.252301514,0.575613499,0,0,3,0,4,1,1,0,0,6
0.496227033,0.592830162,0.00216021,0.663224355,0.331390163,0,0,4,5,4,3,3,0,0,6
0.200534981,0.666660043,0.336719792,0.333667298,0.666664067,4.26E-05,0.333543044,5,3,6,6,3,1,3,6
0.166401223,0.533765273,0.163735841,0.876676202,0.486316156,0,0,6,4,6,1,4,0,0,6
0.333278683,0.391354358,0.213023639,0.999913931,0.51084609,0.000312759,0.999907374,3,4,14,3,9,1,1,6
0.333328344,0.499441051,0.046770816,0.000389019,0.2000198,0,0,3,4,3,1,5,0,0,8
0.500594259,0.999008358,0.414512751,0.999935508,0.999978304,0,0,6,1,7,1,2,0,0,6
0.25281651,0.726452103,0.316130949,0.175242533,0.749579686,0,0,4,8,6,5,4,0,0,6
6.41E-05,0.661318571,0.001069768,0.74998436,0.256047091,0.000172158,0,9,6,12,4,5,3,0,6
0.659044051,0.407762118,0.449064723,0.04809258,0.354030047,0,0,3,3,7,2,2,0,0,8
0,0.518060658,0.499999718,0.999930441,0.985636294,0.000429712,0.000318309,0,2,2,2,2,1,1,6
0.372448981,0.000286112,0.333093796,0.999931097,0.998705745,0.000802139,0,8,2,3,2,1,2,0,6
0.006776609,0.572610462,0.330084556,0.666650206,0.746178913,0.999954462,0,4,5,11,3,4,1,0,6
0.333335977,0.742195973,0.443485857,0.411012271,0.000379003,4.26E-05,0,3,4,9,3,2,1,0,6
0.016220704,0.499925559,0.499852784,7.61E-05,0.249962109,0,0,2,2,4,3,4,0,0,6
2.97E-05,0.9952766,6.90E-05,0.999224424,0.007059525,0,0.000313112,3,2,5,1,1,0,1,3
6.81E-05,0.591495563,0.071048362,0.506622309,0.500497302,4.30E-05,0.886879206,15,12,14,2,6,2,5,3
0.167219321,0.516934096,0.333279228,0.999929547,0.499975732,4.58E-05,0,6,4,6,1,6,1,0,5
0.599943671,0.999882102,0.406703499,0.99990809,0.998715222,0,0,5,1,2,1,3,0,0,6
0.999875635,0.999884099,0.170194923,0.99992609,0.613838583,0.250023144,0,2,2,13,1,2,4,0,6
0.478564999,0.439710552,0.142909434,0.765820175,0.999979138,0,0.999893963,6,2,7,2,1,0,2,8
0.000598736,4.97E-05,0.215392623,0.333336939,0.499997449,0,0,5,1,7,3,6,0,0,3
0.799799144,0.281216733,0.192866528,0.500143692,0.234019325,0.000156714,0.004569902,2,4,4,2,10,3,1,5
1.15E-05,0.250004627,0.499961314,0.061725389,0.222196022,4.00E-05,0,4,4,4,1,9,1,0,3
6.81E-05,0.263139428,0.166681202,9.40E-05,0.333274775,0.63376534,0.999630809,9,4,6,2,6,1,1,6
0.643369227,0.996934563,0.363418194,0.999925077,0.749431821,0,0,4,2,6,2,4,0,0,6
0.251682677,0.314024907,0.332240263,0.679113448,0.499842071,0,0,4,5,6,1,10,0,0,3
8.58E-05,0.499991203,0.026652157,0.666639118,0.501899985,0,0.999907851,4,2,7,3,8,0,1,6
0.410786172,0.999662459,0.500148333,0.712717116,0.616310197,0,0.068650275,3,2,2,1,6,0,1,5
0.266516241,0.500076765,0.16668222,0.999939084,0.333519381,0.333547586,0.665250278,4,2,6,1,6,3,3,5
1.38E-05,0.500606115,2.06E-05,0.999931097,0.520294543,0,0,3,2,4,1,6,0,0,5
0.330416846,0.092779733,0.915450439,0.137968972,0.39703493,0,0,2,1,4,1,5,0,0,3
0.336410381,0.999952316,0.707228589,0.999820083,0.558166215,0,0,2,1,4,2,5,0,0,8
0.666383266,0.999744624,0.99984777,0.590811342,0.696048323,0,0,3,2,1,2,5,0,0,6
0.250013938,0.445806742,0.275945295,0.999882102,0.250013427,0,0.978869319,4,7,11,1,4,0,3,3
1.43E-05,0,4.57E-05,7.24E-05,2.10E-05,0,0,1,0,2,1,1,0,0,3
8.53E-05,0,0.166616874,6.42E-05,0.605946513,0,0,1,0,6,2,5,0,0,6
0.512654643,0.383902126,0.400002234,0.499828127,0.001824686,0,0,9,6,5,2,4,0,0,8
0.500000411,0.799848689,0.327216977,0.930750688,0.200033489,0,0.966887772,2,5,11,3,5,0,1,6
0.250331949,0.559377296,0.008379162,0.015855122,2.31E-05,4.71E-05,0,4,6,6,1,5,3,0,6
0.166671274,0.532830856,0.368350956,0.991154134,0.000188765,0.460351086,0,6,7,8,1,9,4,0,8
0.50003717,5.45E-05,0.003503804,8.15E-05,0.001484347,0,0,4,1,4,1,1,0,0,6
0.224335082,0.534464693,0.417899291,0.999923348,0.999737521,6.32E-05,0.000919765,11,9,5,2,3,3,1,8
0.209938192,0.825360343,0.249570835,0.098390854,3.16E-05,3.95E-05,0,5,4,8,3,4,1,0,6
0.9999547,0.999939442,0.999974072,0.99975118,0.714143012,0,0,1,1,2,2,7,0,0,8
0.860571787,0.397901116,0.142900412,0.999476492,0.571429895,0,0,4,5,7,1,7,0,0,8
0,0.271851834,0.150600793,0.115645857,0.109941535,0,0.000311596,0,5,14,8,9,0,1,3
0.994743496,0.666649311,0.250035817,0.999921203,0.599993474,0,0,2,3,4,1,5,0,0,5
0.189516159,0.988282144,0.142356945,0.558142433,3.00E-05,0.003756223,0.999635339,5,1,13,4,1,3,1,3
0.000111423,0.666595833,0.221421661,0.999925971,0.881634384,0,0.000274775,6,3,8,1,2,0,1,6
0.928831935,0.999922693,0.139659287,0.999931574,0.999934047,0,0,1,2,7,1,4,0,0,6
0.00046674,0,0.502580965,0.004931415,0.03034351,0,0.334154814,1,0,2,1,2,0,1,8
0.099966392,0.74578364,0.145235413,0.999905646,0.26200909,9.51E-05,0,10,4,14,2,9,5,0,3
0.981178343,0.499071106,0.675005738,0.503722838,0.57163066,0,0,1,2,6,2,7,0,0,6
0.661330735,0.772814742,0.125300349,0.400059094,0.334768477,5.33E-05,0,3,9,14,5,15,2,0,5
0.501083865,0.499965668,0.347160968,0.991434634,0.999926229,0,0,4,2,3,1,3,0,0,8
0.193834931,0.452734088,0.217547453,0.799360777,0.758707833,0.000843642,0.331091505,10,9,14,5,11,7,5,6
0.499999443,0.999906063,0.556599668,8.97E-05,0.26173188,0.04870403,0,2,1,9,2,11,2,0,6
0.733068838,0.136163628,0.400553899,0.499330418,0.069282043,6.32E-05,0,4,5,5,2,12,1,0,3
0.999979138,0.996768475,0.925106809,0.999925852,0.589192605,0,0,2,1,4,1,3,0,0,8
0.000628514,5.73E-05,0.359386611,0.50088273,0.666656833,0.991847277,0,5,4,8,2,3,1,0,6
0.125072361,0.999953389,0.330559046,0.991207421,0.999909806,0,0.750221325,8,1,8,4,5,0,4,6
0.523501806,0.001290038,0.371218948,0.627284262,0.516543802,0,0,3,5,7,5,9,0,0,6
0.499944509,0.00064057,0.001270665,0.570254867,0.400006908,5.22E-05,0,4,1,4,5,5,1,0,3
0.285762365,0.58731594,0.329440584,0.999931097,0.77389978,5.63E-05,0.999906898,7,5,9,1,5,2,1,3
0.272714086,0.499405192,0.094860722,0.999872953,0.666467093,4.59E-05,0,11,4,11,2,3,1,0,3
0.250080248,0.998623759,0.42491873,0.999926567,0.487122752,0.17661781,0,4,2,5,1,4,2,0,8
0.07519567,0.250254574,0.205612526,0.000131599,0.32942323,0.076225217,0,10,4,9,1,3,3,0,5
0.999984741,0.99995482,2.11E-05,0.999909878,0.999985337,0.999971628,0,1,1,1,1,1,1,0,8
1.50E-05,0,0.701697921,0.983086824,0.399997817,0,0,1,0,7,2,5,0,0,5
0.33416596,0.599515185,0.385465143,0.388671179,0.38321418,0,0.000494423,3,5,13,4,13,0,1,5
1.91E-05,0.499134109,0.22261007,0.999731004,0.4996962,0.666611511,0.00038438,5,4,10,1,4,3,2,5
0.999928594,0.999861151,0.330289983,0.992055476,0.499353976,0,0.999828815,1,2,5,2,4,0,1,6
0.171219148,0.399726926,0.223694005,0.397940753,0.197844973,5.11E-05,0,6,5,11,5,5,1,0,5
0.408097648,0.999951482,0.671954439,0.999922395,0.341760544,3.96E-05,0,4,1,3,1,3,1,0,8
5.10E-05,0.359127814,0.03446142,0.497704086,0.250015671,3.65E-05,0.509199336,5,5,9,2,4,3,2,3
0.999981761,0.340556385,2.06E-05,0.999892592,0.028389698,0,0,1,5,6,1,1,0,0,3
0.250070173,0,0.199845424,0.332903879,0.748187483,6.89E-05,0,4,0,5,3,4,1,0,5
0.999985814,0.499895194,0.186481804,0.999910295,0.751818955,0,0.999910593,1,2,6,2,2,0,1,3
0.732440859,0,0.65884434,0.999929667,0.999950826,0,0,2,0,3,1,2,0,0,5
2.10E-05,0.148434674,0.143078936,0.499676642,0.333340885,0.000603322,0.000453173,7,4,7,2,3,4,1,6
0.675767424,0.236199913,0.492281678,0.6330275,0.999939919,0.34170185,0,6,5,4,4,4,6,0,8
0.166702597,0.999606341,0.999971926,0.99981612,0.614550284,0.000170443,0,6,2,2,1,3,2,0,6
0.532649166,0.999219567,0.600227796,0.759085774,0.334470847,0.987113833,0,3,2,5,2,3,1,0,8
0.47969904,0.500502366,4.63E-05,0.589221314,0.99826628,0,0.500135168,2,2,4,2,3,0,2,5
0.766586095,0.328708785,0.333318076,0.999862214,0.582909499,0.999926329,0.999813716,2,4,3,3,10,1,3,6
0.333290829,0.666617819,0.485171203,0.999929786,0.499985266,0,0,3,3,8,1,4,0,0,6
0.249948861,0.504632835,2.26E-05,0.997477174,0.520436997,0.000295826,0,4,4,3,2,7,2,0,5
1.62E-05,3.56E-05,2.08E-05,0.335112158,0.50040429,0,0,2,1,2,3,4,0,0,5
2.10E-05,0.335010282,0.164278983,0.798299015,0.423803036,0,0.500264803,5,3,8,1,5,0,2,6
0.666888257,0.501844636,0.333346868,0.999276787,0.99980855,0,0,3,2,3,2,2,0,0,6
0.333340663,0.009604112,0.322744024,0.999933124,0.350045854,0.250038156,0.000378937,6,3,9,1,10,4,2,6
9.95E-05,0.860059911,0.59817587,0.99993515,0.353006294,0,0.000283565,7,7,10,1,10,0,1,5
0.14305263,0.051962826,0.090974304,0.999926448,2.60E-05,0.263559749,0.999895811,7,1,11,1,4,2,1,3
0.002039991,0.499000283,0.117621357,0.084104184,0.300360754,8.17E-05,0,12,8,17,2,3,1,0,3
0.152464306,0.002223714,0.289966101,0.919059202,0.001951323,0.140988092,0,13,4,17,4,2,4,0,5
1.32E-05,0.330355,0.125208466,0.999761403,0.999980688,0,0,1,4,8,2,1,0,0,5
0.098895301,0.999200304,0.376112833,0.97813344,0.5398296,0,0,6,3,8,2,10,0,0,6
0.94618699,0.464339724,0.203174178,0.999924779,0.200472543,0,0,2,6,8,1,5,0,0,5
0.168721841,3.74E-05,0.333370936,0.986267209,2.88E-05,4.45E-05,0.972490847,4,1,5,1,1,2,1,3
0,0.403197795,2.06E-05,0.002080259,0.879895687,0,0,0,1,1,1,1,0,0,3
0.999765098,3.74E-05,0.218777397,0.373596886,0.499999227,0,0.94656539,1,2,2,2,2,0,1,3
0.799869874,0,0.664997686,0.999927938,0.537133681,5.69E-05,0.839669645,5,0,3,2,4,1,1,6
2.92E-05,0.4345104,5.81E-05,0.991661131,0.494709479,0.000747045,0.000638039,7,8,8,2,2,1,1,5
0.499749918,0.66259294,0.200188191,0.000242885,0.498095951,0.99315837,0.50190918,4,3,5,1,8,2,2,6
0.250343412,0.314761356,0.996949583,0.499655392,0.496585896,0.725034924,0,4,6,4,2,8,4,0,3
0.499961501,0.499876548,0.249975406,0.66663804,0.795520626,0,0,2,2,4,3,5,0,0,5
0.999599755,0.341663958,0.171095991,0.000158212,0.663475416,0,0,1,3,11,2,6,0,0,6
0.333352561,0.999935746,0.503148739,0.505195621,0.599683223,0,0.98480016,3,1,4,2,5,0,2,6
0.49998051,0.333905326,0.24979989,0.996374786,0.660093164,4.99E-05,0.998915792,2,3,8,2,3,2,2,5
0.071924424,0.37181972,0.189768685,0.250695224,0.589170911,0.1577929,0.665008755,14,6,10,8,5,4,3,5
0.665619377,0.999943614,0.333339141,0.228659973,0.992184013,0,0,3,1,3,1,2,0,0,5
0.166648329,0.248707488,0.126178279,0.999919415,0.407017865,0.999960542,0,6,4,5,2,8,1,0,5
0.000128168,0.34494879,0.001747138,8.36E-05,0.428092735,0.021944622,0,1,3,2,1,2,2,0,3
0.181998688,0.00643918,0.083348355,0.250049187,0.571426733,0,0.000335417,11,3,17,4,7,0,3,5
0.329943557,0.999195397,4.83E-05,0.99992311,0.500587972,0,0.000394315,6,1,3,2,12,0,1,6
0.241554036,0.999950051,4.13E-05,0.666803719,0.50001302,0.614707202,0,7,2,4,3,4,3,0,3
0.246316296,0.954750717,0.308079008,9.04E-05,0.305422093,0.333313089,0,4,1,6,1,4,3,0,6
0.105457693,0,0.999973774,0.999931335,0.999981999,0,0.000423825,6,0,1,1,2,0,1,5
0.999889056,3.94E-05,0.239141343,0.999787569,0.326591773,0,0,3,2,6,2,9,0,0,6
0.998715639,0.333344639,0.49999754,0.999925613,0.384477979,0,0,3,3,4,2,13,0,0,6
0.136271139,3.78E-05,0.250010304,0.993759423,0.575985139,0,0,2,1,4,2,4,0,0,6
0.666619033,0.540049726,0.257423884,0.999729574,0.295903602,0.000165046,0,3,4,5,2,11,1,0,6
0.000178611,0.688198077,0.143926249,0.666384721,2.78E-05,0.000140204,0.499682707,5,6,7,3,4,3,2,3
0.245676306,0.593318365,0.22027646,0.838006655,0.799267419,4.95E-05,0.439728126,11,5,9,3,5,2,2,6
0.507302346,0.428554341,0.295957965,0.999929905,0.331933615,0,0,7,7,7,1,6,0,0,5
0.45444109,0.332913749,0.200007537,0.928797444,0.324491661,0.037326512,0.000308979,11,3,10,3,8,4,1,5
0.99998045,0.697229087,0.598292238,0.002289997,0.620820154,0,0.99683702,1,3,5,2,3,0,1,6
0.962254554,0,0.330189611,0.999924302,0.98364234,0,0,2,0,3,1,1,0,0,6
0.441432444,0.496118885,0.166682668,0.000135805,2.38E-05,0,0.001720811,3,4,6,1,5,0,2,3
1.43E-05,0.003194487,0.248560539,0.999923348,0.499998869,0,0,1,1,8,1,4,0,0,3
0.999465585,0,0.250028915,0.999896884,0.875103474,0,0,2,0,4,1,1,0,0,6
1.10E-05,0.500079274,0.499997004,0.998471916,0.999916553,0,0.50011494,1,4,2,1,1,0,2,3
0.399954471,0.33421928,0.592839656,0.99991852,0.999745262,0,0,5,3,5,2,5,0,0,8
0.749980775,0.511310757,0.687529329,0.999915719,0.667000886,0,0,4,4,4,1,3,0,0,8
0.447480662,0.31178735,0.349908409,7.53E-05,0.398953458,4.90E-05,0.999902725,14,7,8,1,16,2,2,8
0,4.78E-05,0.246994948,0.000106519,0.490074244,0,0,0,2,4,1,6,0,0,6
0.333465645,0.733826224,0.003636563,0.67010306,0.285652488,6.47E-05,0,3,4,3,3,7,1,0,8
0.563974058,0.399298478,0.399862479,0.0048823,0.54156335,4.79E-05,0,4,5,5,1,11,1,0,8
0.999984741,0.664776661,0.499885324,0.999874234,0.166665833,0,0.9971385,2,6,2,1,12,0,1,5
0.575043089,0,0.4692691,0.999521494,0.680004436,0,0.845711231,3,0,6,1,7,0,1,5
0.000235686,0.248784374,0,8.32E-05,0.142875148,0,0,2,4,0,1,7,0,0,5
0.947930872,0.596628952,0.011551093,0.00013346,0.170069137,0,0,1,5,3,1,5,0,0,5
0.000386602,0.427144733,0.33892205,0.351492175,0.420601541,0.165238008,0,7,7,12,8,9,1,0,8
0.394663317,0.249970318,0.274156995,0.743281593,0.473390047,0,0.024710227,5,4,11,3,8,0,1,6
0.49432315,0.581855033,0.16968145,0.029043483,0.537298754,0,0,2,5,9,1,9,0,0,6
0.517750697,0.529083807,0.586958838,0.999906182,0.500002197,0,0,2,2,4,1,2,0,0,8
0.500010824,0.458354298,0.48597659,0.491170863,0.487915973,4.17E-05,0,4,3,7,2,8,1,0,6
0.499994195,4.65E-05,0.663579765,0.999836326,0.984250799,0,0,2,1,4,1,4,0,0,5
0.999831438,0,0.991924748,0.999300569,0.831802068,0,0,2,0,4,2,6,0,0,8
0.450903145,0.999950409,0.494734682,0.999931097,0.943320374,0,0,2,1,5,2,6,0,0,6
0.311144282,0.115924641,3.44E-05,6.19E-05,0.000843764,0.384442698,0,3,1,1,1,2,3,0,3
0.200006696,0.275605226,0.201372822,0.99983561,0.637945542,0,0.990954101,5,5,5,1,3,0,1,6
0.66038956,0.950472216,0.125018027,0.999936223,0.523654473,4.36E-05,0.999888182,3,3,8,1,6,1,1,6
0.023587547,0.54644249,0.152037383,0.615957674,0.428609293,5.07E-05,0,5,7,11,3,7,1,0,5
0.247435929,0.667221904,0.045129807,0.00120467,0.255503922,0,0,3,3,5,2,9,0,0,5
0.999971509,3.71E-05,0.50001991,0.999917984,0.431234616,0,0,1,1,6,1,6,0,0,5
0.40477299,0.263135912,0.666762316,0.002323636,0.790206804,0,0,5,4,6,1,5,0,0,5
0.269615356,0.53583667,0.072929446,0.500244681,0.252496733,0.130654113,0,13,4,12,4,9,8,0,3
1.22E-05,0.000214077,0.33269876,0.102486759,0.249188105,0.000147272,0,2,1,3,1,4,2,0,6
0.646819942,0.017670638,0.250264231,0.999770314,0.666369349,0,0.999898195,4,2,4,2,6,0,1,3
0.453379869,3.61E-05,0,0.292704721,0.000668219,0,0,5,2,0,2,4,0,0,3
0.531813036,3.74E-05,0.000169571,7.32E-05,0.500009211,0,0,3,1,4,2,4,0,0,5
0.47217894,0.9999367,0.16435783,0.999692589,0.614753555,0,0.997232258,7,1,6,2,8,0,1,3
0.250000582,0.998550296,0.713083997,0.928911507,0.333009297,0.020723261,0,4,4,6,1,3,1,0,5
0.250017723,0.993010124,0.285878966,0.499981331,0.667203249,0,0,4,3,7,2,3,0,0,3
0.095018863,0.665741945,0.434932125,0.999931773,0.629882402,0,0.999911904,24,9,10,3,10,0,1,8
0.246643616,0.631103426,0.200586739,0.999935269,0.314428459,0.946008444,0,4,2,5,1,3,1,0,6
0.099789598,0.655905396,0.499702841,0.666637983,0.658964434,0.999964356,0,6,3,4,3,6,1,0,6
8.84E-05,0.234429164,0.174132483,0.488935177,0.000518596,0.999961972,0.000370604,13,5,6,6,5,1,1,5
0.285683006,0.49978206,0.333342087,0.999775469,0.666663083,0,0,7,2,3,1,3,0,0,8
0.491057856,0.999887089,0.473781056,0.999919891,0.000521051,0,0.999854803,3,3,6,2,1,0,1,8
0.284764617,0.782000442,4.40E-05,0.754902959,0.356293229,4.51E-05,0.999911666,16,8,9,3,5,1,1,8
0.501894397,0.384371834,0.222306214,0.02446869,0.400001316,0,0.999784291,4,8,9,1,5,0,2,5
0.666779083,0.3999997,0.414568471,0.999935448,0.363467597,0,0,3,5,5,2,11,0,0,5
0.111125199,0.635102762,0.134730492,0.020098584,0.668586825,0,0,9,8,19,2,7,0,0,6
0.612648161,0.200410109,0.142904567,0.992895663,0.749708168,4.10E-05,0,13,5,7,4,8,1,0,5
0.028840403,0.501084623,0.094584091,0.127398534,0.258904836,0.999922276,0,7,4,8,2,4,3,0,5
0.000498999,0.034294352,0.02384844,0.371667697,0.49999989,0,0,9,5,4,4,6,0,0,3
0.997514248,0.999823391,0.142991845,0.50003411,0.664111407,0,0,1,1,7,2,3,0,0,5
0.999878168,0.999955416,0.998126179,0.000279279,0.99713929,0,0,1,1,2,1,4,0,0,8
0.256226678,0.999909401,0.328952923,0.495080215,0.564978416,0,0,8,1,3,2,3,0,0,8
0.664831672,4.73E-05,0.33288003,0.999784052,0.586989698,0,0.333815285,6,1,6,1,7,0,3,8
0.499934018,0.546219923,0.000352702,0.00165336,0.076671713,0,0,4,3,11,1,7,0,0,6
0.499997486,0.995777488,0.996315047,9.03E-05,0.210508172,0,0,2,1,4,1,5,0,0,6
0.999985456,0.66663523,0.313842983,0.999917507,0.333263666,7.22E-05,0.056267124,1,3,8,1,3,1,1,5
0.161718655,0.129275727,0.000379841,7.78E-05,0.100031718,5.10E-05,0,5,4,8,2,10,2,0,5
1.47E-05,0.674108605,0.249704613,0.191429779,0.31383404,0.442466167,0,1,3,4,1,6,2,0,3
0.036902562,0.31370025,0.217654683,0.999845475,0.280664952,5.41E-05,0.972478569,5,5,5,2,11,1,1,3
0.003950267,0.098770804,0.605687064,0.999937654,0.99998335,0,0,1,2,8,1,3,0,0,6
2.11E-05,0.620699641,0.268179411,0.995913297,0.3329811,0,0.99989748,2,7,13,2,3,0,1,5
0.313171202,0.256550142,0.442984712,0.999937177,0.665481078,5.23E-05,0.000308815,4,4,9,1,3,2,1,3
0.240260736,0.990620852,0.040464786,0.999772102,0.741677301,0,0.000301414,4,1,8,2,4,0,1,5
0.198273612,4.13E-05,0.464335594,0.000149001,2.81E-05,0.004077038,0,5,1,3,1,4,2,0,1
0.999900699,0.999955773,0.200088895,0.333290722,0.142871937,0,0,1,1,5,3,7,0,0,3
0.249568847,0.499966876,0.111266432,0.500006573,0.286432801,0.129256133,0,8,2,9,2,7,2,0,3
0.749869517,0.998672982,0.144071495,0.50022551,0.500128315,0.999960661,0,4,3,7,2,4,2,0,8
0.832111574,0.333347524,0.168290829,0.988130212,0.33905651,0,0,6,3,8,3,3,0,0,5
0.02887565,0.670975545,0.111237552,0.010611031,0.999984384,0,0,9,6,9,1,1,0,0,5
0.999944091,0.759328395,0.052816442,0.542127915,0.797521859,0,0,1,3,4,2,5,0,0,6
0.275736864,0.288351322,0.154349308,0.250046687,0.345614893,4.41E-05,0.500147875,6,7,13,4,8,1,2,6
0.14284625,0.000178331,0.333311943,6.86E-05,0.155728714,0.997867584,0,7,2,3,1,6,1,0,3
0.584995976,0.67907195,0.285161033,0.999900301,0.660264481,0.00044056,0.000272286,5,3,11,3,9,2,1,6
0.222230355,0.441141105,0.327449834,0.999925613,0.501378849,6.24E-05,0,9,3,9,1,4,4,0,6
0.500004372,0.546217145,0.746118336,0.954674482,2.18E-05,6.38E-05,0.000883325,4,4,4,1,2,1,1,6
0.119099821,0.474595426,0.021023872,0.238019229,2.55E-05,0,0.000295494,5,6,2,4,3,0,1,5
0.799652949,0.665140241,0.395479591,0.74994867,0.406194761,0,0,5,3,13,4,10,0,0,8
0.579824557,0.666327952,0.663824495,0.999930024,0.47713498,0,0,5,3,6,1,3,0,0,6
0.715806454,0,0.286281978,0.999924541,0.665305112,0,0,2,0,7,1,3,0,0,6
2.29E-05,0.712167654,0.468591386,0.999938488,0.008822564,6.65E-05,0,2,9,4,1,2,1,0,5
1.75E-05,0.293220189,0.113671173,0.499979162,0.636957901,4.95E-05,0,12,7,11,2,6,3,0,5
